group1,group2,meandiff,p-adj,lower,upper,reject
age_comment_allenai/longformer-base-4096,age_comment_google-bert/bert-base-uncased,-0.123,0.0206,-0.24,-0.0061,True
age_comment_allenai/longformer-base-4096,age_comment_google/bigbird-roberta-base,-0.0217,1.0,-0.1386,0.0952,False
age_comment_allenai/longformer-base-4096,age_comment_intfloat/e5-small-v2,-0.2148,0.0,-0.3317,-0.0979,True
age_comment_allenai/longformer-base-4096,age_comment_qwen3-embedding:8b,-0.3123,0.0,-0.4293,-0.1954,True
age_comment_allenai/longformer-base-4096,age_comment_sentence-transformers/all-MiniLM-L6-v2,-0.1732,0.0,-0.2901,-0.0562,True
age_comment_allenai/longformer-base-4096,cah_age_comment_allenai/longformer-base-4096,0.0053,1.0,-0.1116,0.1223,False
age_comment_allenai/longformer-base-4096,cah_age_comment_google-bert/bert-base-uncased,-0.1082,0.1494,-0.2252,0.0087,False
age_comment_allenai/longformer-base-4096,cah_age_comment_google/bigbird-roberta-base,-0.019,1.0,-0.1359,0.0979,False
age_comment_allenai/longformer-base-4096,cah_age_comment_intfloat/e5-small-v2,-0.3027,0.0,-0.4196,-0.1858,True
age_comment_allenai/longformer-base-4096,cah_age_comment_qwen3-embedding:8b,-0.2476,0.0,-0.3645,-0.1306,True
age_comment_allenai/longformer-base-4096,cah_age_comment_sentence-transformers/all-MiniLM-L6-v2,-0.202,0.0,-0.3189,-0.0851,True
age_comment_allenai/longformer-base-4096,cah_comment_allenai/longformer-base-4096,0.0121,1.0,-0.1048,0.129,False
age_comment_allenai/longformer-base-4096,cah_comment_google-bert/bert-base-uncased,-0.1538,0.0001,-0.2707,-0.0369,True
age_comment_allenai/longformer-base-4096,cah_comment_google/bigbird-roberta-base,-0.0293,1.0,-0.1462,0.0876,False
age_comment_allenai/longformer-base-4096,cah_comment_intfloat/e5-small-v2,-0.3098,0.0,-0.4267,-0.1929,True
age_comment_allenai/longformer-base-4096,cah_comment_qwen3-embedding:8b,-0.3044,0.0,-0.4214,-0.1875,True
age_comment_allenai/longformer-base-4096,cah_comment_sentence-transformers/all-MiniLM-L6-v2,-0.1998,0.0,-0.3167,-0.0829,True
age_comment_allenai/longformer-base-4096,comment_only_allenai/longformer-base-4096,0.0031,1.0,-0.1139,0.12,False
age_comment_allenai/longformer-base-4096,comment_only_google-bert/bert-base-uncased,-0.1534,0.0001,-0.2703,-0.0365,True
age_comment_allenai/longformer-base-4096,comment_only_google/bigbird-roberta-base,-0.0694,0.9967,-0.1864,0.0475,False
age_comment_allenai/longformer-base-4096,comment_only_intfloat/e5-small-v2,-0.1535,0.0001,-0.2704,-0.0365,True
age_comment_allenai/longformer-base-4096,comment_only_qwen3-embedding:8b,-0.2482,0.0,-0.3652,-0.1313,True
age_comment_allenai/longformer-base-4096,comment_only_sentence-transformers/all-MiniLM-L6-v2,-0.2511,0.0,-0.368,-0.1341,True
age_comment_allenai/longformer-base-4096,institution_age_comment_allenai/longformer-base-4096,0.0015,1.0,-0.1155,0.1184,False
age_comment_allenai/longformer-base-4096,institution_age_comment_google-bert/bert-base-uncased,-0.0941,0.5357,-0.2111,0.0228,False
age_comment_allenai/longformer-base-4096,institution_age_comment_google/bigbird-roberta-base,-0.0172,1.0,-0.1341,0.0997,False
age_comment_allenai/longformer-base-4096,institution_age_comment_intfloat/e5-small-v2,-0.162,0.0,-0.2789,-0.0451,True
age_comment_allenai/longformer-base-4096,institution_age_comment_qwen3-embedding:8b,-0.1349,0.003,-0.2518,-0.0179,True
age_comment_allenai/longformer-base-4096,institution_age_comment_sentence-transformers/all-MiniLM-L6-v2,-0.2249,0.0,-0.3418,-0.108,True
age_comment_allenai/longformer-base-4096,institution_cah_age_comment_allenai/longformer-base-4096,0.0029,1.0,-0.114,0.1199,False
age_comment_allenai/longformer-base-4096,institution_cah_age_comment_google-bert/bert-base-uncased,-0.1189,0.038,-0.2358,-0.002,True
age_comment_allenai/longformer-base-4096,institution_cah_age_comment_google/bigbird-roberta-base,-0.0208,1.0,-0.1377,0.0961,False
age_comment_allenai/longformer-base-4096,institution_cah_age_comment_intfloat/e5-small-v2,-0.1851,0.0,-0.302,-0.0682,True
age_comment_allenai/longformer-base-4096,institution_cah_age_comment_qwen3-embedding:8b,-0.1268,0.0114,-0.2437,-0.0099,True
age_comment_allenai/longformer-base-4096,institution_cah_age_comment_sentence-transformers/all-MiniLM-L6-v2,-0.2355,0.0,-0.3525,-0.1186,True
age_comment_allenai/longformer-base-4096,institution_cah_comment_allenai/longformer-base-4096,0.0167,1.0,-0.1003,0.1336,False
age_comment_allenai/longformer-base-4096,institution_cah_comment_google-bert/bert-base-uncased,-0.1259,0.0133,-0.2428,-0.0089,True
age_comment_allenai/longformer-base-4096,institution_cah_comment_google/bigbird-roberta-base,-0.024,1.0,-0.1409,0.093,False
age_comment_allenai/longformer-base-4096,institution_cah_comment_intfloat/e5-small-v2,-0.3009,0.0,-0.4178,-0.184,True
age_comment_allenai/longformer-base-4096,institution_cah_comment_qwen3-embedding:8b,-0.1842,0.0,-0.3011,-0.0673,True
age_comment_allenai/longformer-base-4096,institution_cah_comment_sentence-transformers/all-MiniLM-L6-v2,-0.2324,0.0,-0.3493,-0.1155,True
age_comment_allenai/longformer-base-4096,institution_comment_allenai/longformer-base-4096,0.0186,1.0,-0.0983,0.1355,False
age_comment_allenai/longformer-base-4096,institution_comment_google-bert/bert-base-uncased,-0.1494,0.0002,-0.2663,-0.0324,True
age_comment_allenai/longformer-base-4096,institution_comment_google/bigbird-roberta-base,-0.0371,1.0,-0.154,0.0798,False
age_comment_allenai/longformer-base-4096,institution_comment_intfloat/e5-small-v2,-0.1818,0.0,-0.2987,-0.0649,True
age_comment_allenai/longformer-base-4096,institution_comment_qwen3-embedding:8b,-0.2442,0.0,-0.3611,-0.1272,True
age_comment_allenai/longformer-base-4096,institution_comment_sentence-transformers/all-MiniLM-L6-v2,-0.2405,0.0,-0.3574,-0.1236,True
age_comment_allenai/longformer-base-4096,question_age_comment_allenai/longformer-base-4096,-0.0227,1.0,-0.1396,0.0943,False
age_comment_allenai/longformer-base-4096,question_age_comment_google-bert/bert-base-uncased,-0.1249,0.0155,-0.2418,-0.008,True
age_comment_allenai/longformer-base-4096,question_age_comment_google/bigbird-roberta-base,-0.0854,0.8181,-0.2023,0.0315,False
age_comment_allenai/longformer-base-4096,question_age_comment_intfloat/e5-small-v2,-0.2733,0.0,-0.3902,-0.1563,True
age_comment_allenai/longformer-base-4096,question_age_comment_qwen3-embedding:8b,-0.263,0.0,-0.3799,-0.1461,True
age_comment_allenai/longformer-base-4096,question_age_comment_sentence-transformers/all-MiniLM-L6-v2,-0.2545,0.0,-0.3714,-0.1375,True
age_comment_allenai/longformer-base-4096,question_cah_age_comment_allenai/longformer-base-4096,-0.0067,1.0,-0.1237,0.1102,False
age_comment_allenai/longformer-base-4096,question_cah_age_comment_google-bert/bert-base-uncased,-0.1062,0.1882,-0.2231,0.0108,False
age_comment_allenai/longformer-base-4096,question_cah_age_comment_google/bigbird-roberta-base,-0.0758,0.9738,-0.1927,0.0411,False
age_comment_allenai/longformer-base-4096,question_cah_age_comment_intfloat/e5-small-v2,-0.2376,0.0,-0.3545,-0.1207,True
age_comment_allenai/longformer-base-4096,question_cah_age_comment_qwen3-embedding:8b,-0.3016,0.0,-0.4185,-0.1847,True
age_comment_allenai/longformer-base-4096,question_cah_age_comment_sentence-transformers/all-MiniLM-L6-v2,-0.22,0.0,-0.3369,-0.103,True
age_comment_allenai/longformer-base-4096,question_cah_comment_allenai/longformer-base-4096,-0.0084,1.0,-0.1253,0.1085,False
age_comment_allenai/longformer-base-4096,question_cah_comment_google-bert/bert-base-uncased,-0.1029,0.2625,-0.2198,0.014,False
age_comment_allenai/longformer-base-4096,question_cah_comment_google/bigbird-roberta-base,-0.062,0.9999,-0.1789,0.0549,False
age_comment_allenai/longformer-base-4096,question_cah_comment_intfloat/e5-small-v2,-0.2415,0.0,-0.3585,-0.1246,True
age_comment_allenai/longformer-base-4096,question_cah_comment_qwen3-embedding:8b,-0.2738,0.0,-0.3907,-0.1569,True
age_comment_allenai/longformer-base-4096,question_cah_comment_sentence-transformers/all-MiniLM-L6-v2,-0.223,0.0,-0.3399,-0.106,True
age_comment_allenai/longformer-base-4096,question_comment_allenai/longformer-base-4096,-0.0428,1.0,-0.1597,0.0741,False
age_comment_allenai/longformer-base-4096,question_comment_google-bert/bert-base-uncased,-0.0862,0.7953,-0.2031,0.0307,False
