group1,group2,meandiff,p-adj,lower,upper,reject
allenai/longformer-base-4096,google-bert/bert-base-uncased,-0.1808,0.0,-0.2048,-0.1568,True
allenai/longformer-base-4096,google/bigbird-roberta-base,-0.0932,0.0,-0.1172,-0.0692,True
allenai/longformer-base-4096,intfloat/e5-small-v2,-0.2518,0.0,-0.2758,-0.2278,True
allenai/longformer-base-4096,qwen3-embedding:8b,-0.2038,0.0,-0.2279,-0.1798,True
allenai/longformer-base-4096,sentence-transformers/all-MiniLM-L6-v2,-0.4237,0.0,-0.4478,-0.3997,True
google-bert/bert-base-uncased,google/bigbird-roberta-base,0.0876,0.0,0.0636,0.1117,True
google-bert/bert-base-uncased,intfloat/e5-small-v2,-0.071,0.0,-0.095,-0.0469,True
google-bert/bert-base-uncased,qwen3-embedding:8b,-0.023,0.0697,-0.047,0.001,False
google-bert/bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,-0.2429,0.0,-0.267,-0.2189,True
google/bigbird-roberta-base,intfloat/e5-small-v2,-0.1586,0.0,-0.1826,-0.1346,True
google/bigbird-roberta-base,qwen3-embedding:8b,-0.1106,0.0,-0.1347,-0.0866,True
google/bigbird-roberta-base,sentence-transformers/all-MiniLM-L6-v2,-0.3305,0.0,-0.3546,-0.3065,True
intfloat/e5-small-v2,qwen3-embedding:8b,0.048,0.0,0.0239,0.072,True
intfloat/e5-small-v2,sentence-transformers/all-MiniLM-L6-v2,-0.1719,0.0,-0.196,-0.1479,True
qwen3-embedding:8b,sentence-transformers/all-MiniLM-L6-v2,-0.2199,0.0,-0.2439,-0.1959,True
