group1,group2,meandiff,p-adj,lower,upper,reject
allenai/longformer-base-4096_PCA,allenai/longformer-base-4096_PaCMAP,-0.0849,0.0,-0.1088,-0.061,True
allenai/longformer-base-4096_PCA,allenai/longformer-base-4096_UMAP,-0.0926,0.0,-0.1165,-0.0687,True
allenai/longformer-base-4096_PCA,google-bert/bert-base-uncased_PCA,-0.0553,0.0,-0.0792,-0.0314,True
allenai/longformer-base-4096_PCA,google-bert/bert-base-uncased_PaCMAP,-0.2448,0.0,-0.2687,-0.2209,True
allenai/longformer-base-4096_PCA,google-bert/bert-base-uncased_UMAP,-0.252,0.0,-0.2759,-0.2281,True
allenai/longformer-base-4096_PCA,google/bigbird-roberta-base_PCA,-0.0213,0.1502,-0.0452,0.0026,False
allenai/longformer-base-4096_PCA,google/bigbird-roberta-base_PaCMAP,-0.1387,0.0,-0.1626,-0.1148,True
allenai/longformer-base-4096_PCA,google/bigbird-roberta-base_UMAP,-0.1633,0.0,-0.1873,-0.1394,True
allenai/longformer-base-4096_PCA,intfloat/e5-small-v2_PCA,-0.1208,0.0,-0.1447,-0.0969,True
allenai/longformer-base-4096_PCA,intfloat/e5-small-v2_PaCMAP,-0.3309,0.0,-0.3548,-0.307,True
allenai/longformer-base-4096_PCA,intfloat/e5-small-v2_UMAP,-0.3709,0.0,-0.3948,-0.347,True
allenai/longformer-base-4096_PCA,qwen3-embedding:8b_PCA,-0.1657,0.0,-0.1896,-0.1418,True
allenai/longformer-base-4096_PCA,qwen3-embedding:8b_PaCMAP,-0.3202,0.0,-0.3441,-0.2963,True
allenai/longformer-base-4096_PCA,qwen3-embedding:8b_UMAP,-0.3263,0.0,-0.3502,-0.3024,True
allenai/longformer-base-4096_PCA,sentence-transformers/all-MiniLM-L6-v2_PCA,-0.0988,0.0,-0.1227,-0.0749,True
allenai/longformer-base-4096_PCA,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.3639,0.0,-0.3878,-0.34,True
allenai/longformer-base-4096_PCA,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.3817,0.0,-0.4056,-0.3578,True
allenai/longformer-base-4096_PaCMAP,allenai/longformer-base-4096_UMAP,-0.0076,0.9997,-0.0316,0.0163,False
allenai/longformer-base-4096_PaCMAP,google-bert/bert-base-uncased_PCA,0.0296,0.0022,0.0057,0.0535,True
allenai/longformer-base-4096_PaCMAP,google-bert/bert-base-uncased_PaCMAP,-0.1599,0.0,-0.1838,-0.136,True
allenai/longformer-base-4096_PaCMAP,google-bert/bert-base-uncased_UMAP,-0.1671,0.0,-0.191,-0.1432,True
allenai/longformer-base-4096_PaCMAP,google/bigbird-roberta-base_PCA,0.0636,0.0,0.0397,0.0875,True
allenai/longformer-base-4096_PaCMAP,google/bigbird-roberta-base_PaCMAP,-0.0538,0.0,-0.0777,-0.0299,True
allenai/longformer-base-4096_PaCMAP,google/bigbird-roberta-base_UMAP,-0.0784,0.0,-0.1023,-0.0545,True
allenai/longformer-base-4096_PaCMAP,intfloat/e5-small-v2_PCA,-0.0359,0.0,-0.0598,-0.012,True
allenai/longformer-base-4096_PaCMAP,intfloat/e5-small-v2_PaCMAP,-0.2459,0.0,-0.2699,-0.222,True
allenai/longformer-base-4096_PaCMAP,intfloat/e5-small-v2_UMAP,-0.2859,0.0,-0.3098,-0.262,True
allenai/longformer-base-4096_PaCMAP,qwen3-embedding:8b_PCA,-0.0808,0.0,-0.1047,-0.0569,True
allenai/longformer-base-4096_PaCMAP,qwen3-embedding:8b_PaCMAP,-0.2352,0.0,-0.2591,-0.2113,True
allenai/longformer-base-4096_PaCMAP,qwen3-embedding:8b_UMAP,-0.2414,0.0,-0.2653,-0.2175,True
allenai/longformer-base-4096_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_PCA,-0.0139,0.8557,-0.0378,0.01,False
allenai/longformer-base-4096_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.279,0.0,-0.3029,-0.2551,True
allenai/longformer-base-4096_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.2968,0.0,-0.3207,-0.2729,True
allenai/longformer-base-4096_UMAP,google-bert/bert-base-uncased_PCA,0.0372,0.0,0.0133,0.0611,True
allenai/longformer-base-4096_UMAP,google-bert/bert-base-uncased_PaCMAP,-0.1522,0.0,-0.1761,-0.1283,True
allenai/longformer-base-4096_UMAP,google-bert/bert-base-uncased_UMAP,-0.1594,0.0,-0.1833,-0.1355,True
allenai/longformer-base-4096_UMAP,google/bigbird-roberta-base_PCA,0.0712,0.0,0.0473,0.0952,True
allenai/longformer-base-4096_UMAP,google/bigbird-roberta-base_PaCMAP,-0.0461,0.0,-0.07,-0.0222,True
allenai/longformer-base-4096_UMAP,google/bigbird-roberta-base_UMAP,-0.0708,0.0,-0.0947,-0.0469,True
allenai/longformer-base-4096_UMAP,intfloat/e5-small-v2_PCA,-0.0283,0.0049,-0.0522,-0.0044,True
allenai/longformer-base-4096_UMAP,intfloat/e5-small-v2_PaCMAP,-0.2383,0.0,-0.2622,-0.2144,True
allenai/longformer-base-4096_UMAP,intfloat/e5-small-v2_UMAP,-0.2783,0.0,-0.3022,-0.2544,True
allenai/longformer-base-4096_UMAP,qwen3-embedding:8b_PCA,-0.0731,0.0,-0.0971,-0.0492,True
allenai/longformer-base-4096_UMAP,qwen3-embedding:8b_PaCMAP,-0.2276,0.0,-0.2515,-0.2037,True
allenai/longformer-base-4096_UMAP,qwen3-embedding:8b_UMAP,-0.2338,0.0,-0.2577,-0.2099,True
allenai/longformer-base-4096_UMAP,sentence-transformers/all-MiniLM-L6-v2_PCA,-0.0062,1.0,-0.0301,0.0177,False
allenai/longformer-base-4096_UMAP,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.2714,0.0,-0.2953,-0.2475,True
allenai/longformer-base-4096_UMAP,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.2891,0.0,-0.3131,-0.2652,True
google-bert/bert-base-uncased_PCA,google-bert/bert-base-uncased_PaCMAP,-0.1895,0.0,-0.2134,-0.1656,True
google-bert/bert-base-uncased_PCA,google-bert/bert-base-uncased_UMAP,-0.1966,0.0,-0.2205,-0.1727,True
google-bert/bert-base-uncased_PCA,google/bigbird-roberta-base_PCA,0.034,0.0001,0.0101,0.0579,True
google-bert/bert-base-uncased_PCA,google/bigbird-roberta-base_PaCMAP,-0.0833,0.0,-0.1073,-0.0594,True
google-bert/bert-base-uncased_PCA,google/bigbird-roberta-base_UMAP,-0.108,0.0,-0.1319,-0.0841,True
google-bert/bert-base-uncased_PCA,intfloat/e5-small-v2_PCA,-0.0655,0.0,-0.0894,-0.0416,True
google-bert/bert-base-uncased_PCA,intfloat/e5-small-v2_PaCMAP,-0.2755,0.0,-0.2994,-0.2516,True
google-bert/bert-base-uncased_PCA,intfloat/e5-small-v2_UMAP,-0.3155,0.0,-0.3394,-0.2916,True
google-bert/bert-base-uncased_PCA,qwen3-embedding:8b_PCA,-0.1104,0.0,-0.1343,-0.0865,True
google-bert/bert-base-uncased_PCA,qwen3-embedding:8b_PaCMAP,-0.2648,0.0,-0.2887,-0.2409,True
google-bert/bert-base-uncased_PCA,qwen3-embedding:8b_UMAP,-0.271,0.0,-0.2949,-0.2471,True
google-bert/bert-base-uncased_PCA,sentence-transformers/all-MiniLM-L6-v2_PCA,-0.0435,0.0,-0.0674,-0.0196,True
google-bert/bert-base-uncased_PCA,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.3086,0.0,-0.3325,-0.2847,True
google-bert/bert-base-uncased_PCA,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.3264,0.0,-0.3503,-0.3025,True
google-bert/bert-base-uncased_PaCMAP,google-bert/bert-base-uncased_UMAP,-0.0072,0.9999,-0.0311,0.0167,False
google-bert/bert-base-uncased_PaCMAP,google/bigbird-roberta-base_PCA,0.2235,0.0,0.1996,0.2474,True
google-bert/bert-base-uncased_PaCMAP,google/bigbird-roberta-base_PaCMAP,0.1061,0.0,0.0822,0.13,True
google-bert/bert-base-uncased_PaCMAP,google/bigbird-roberta-base_UMAP,0.0815,0.0,0.0576,0.1054,True
google-bert/bert-base-uncased_PaCMAP,intfloat/e5-small-v2_PCA,0.124,0.0,0.1001,0.1479,True
google-bert/bert-base-uncased_PaCMAP,intfloat/e5-small-v2_PaCMAP,-0.0861,0.0,-0.11,-0.0622,True
google-bert/bert-base-uncased_PaCMAP,intfloat/e5-small-v2_UMAP,-0.1261,0.0,-0.15,-0.1021,True
google-bert/bert-base-uncased_PaCMAP,qwen3-embedding:8b_PCA,0.0791,0.0,0.0552,0.103,True
google-bert/bert-base-uncased_PaCMAP,qwen3-embedding:8b_PaCMAP,-0.0754,0.0,-0.0993,-0.0515,True
google-bert/bert-base-uncased_PaCMAP,qwen3-embedding:8b_UMAP,-0.0815,0.0,-0.1054,-0.0576,True
google-bert/bert-base-uncased_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_PCA,0.146,0.0,0.1221,0.1699,True
google-bert/bert-base-uncased_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.1191,0.0,-0.143,-0.0952,True
google-bert/bert-base-uncased_PaCMAP,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.1369,0.0,-0.1608,-0.113,True
google-bert/bert-base-uncased_UMAP,google/bigbird-roberta-base_PCA,0.2307,0.0,0.2068,0.2546,True
google-bert/bert-base-uncased_UMAP,google/bigbird-roberta-base_PaCMAP,0.1133,0.0,0.0894,0.1372,True
google-bert/bert-base-uncased_UMAP,google/bigbird-roberta-base_UMAP,0.0886,0.0,0.0647,0.1125,True
google-bert/bert-base-uncased_UMAP,intfloat/e5-small-v2_PCA,0.1311,0.0,0.1072,0.1551,True
google-bert/bert-base-uncased_UMAP,intfloat/e5-small-v2_PaCMAP,-0.0789,0.0,-0.1028,-0.055,True
google-bert/bert-base-uncased_UMAP,intfloat/e5-small-v2_UMAP,-0.1189,0.0,-0.1428,-0.095,True
google-bert/bert-base-uncased_UMAP,qwen3-embedding:8b_PCA,0.0863,0.0,0.0624,0.1102,True
google-bert/bert-base-uncased_UMAP,qwen3-embedding:8b_PaCMAP,-0.0682,0.0,-0.0921,-0.0443,True
google-bert/bert-base-uncased_UMAP,qwen3-embedding:8b_UMAP,-0.0744,0.0,-0.0983,-0.0505,True
google-bert/bert-base-uncased_UMAP,sentence-transformers/all-MiniLM-L6-v2_PCA,0.1532,0.0,0.1293,0.1771,True
google-bert/bert-base-uncased_UMAP,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.1119,0.0,-0.1359,-0.088,True
google-bert/bert-base-uncased_UMAP,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.1297,0.0,-0.1536,-0.1058,True
google/bigbird-roberta-base_PCA,google/bigbird-roberta-base_PaCMAP,-0.1174,0.0,-0.1413,-0.0935,True
google/bigbird-roberta-base_PCA,google/bigbird-roberta-base_UMAP,-0.142,0.0,-0.1659,-0.1181,True
google/bigbird-roberta-base_PCA,intfloat/e5-small-v2_PCA,-0.0995,0.0,-0.1234,-0.0756,True
google/bigbird-roberta-base_PCA,intfloat/e5-small-v2_PaCMAP,-0.3095,0.0,-0.3335,-0.2856,True
google/bigbird-roberta-base_PCA,intfloat/e5-small-v2_UMAP,-0.3495,0.0,-0.3734,-0.3256,True
google/bigbird-roberta-base_PCA,qwen3-embedding:8b_PCA,-0.1444,0.0,-0.1683,-0.1205,True
google/bigbird-roberta-base_PCA,qwen3-embedding:8b_PaCMAP,-0.2988,0.0,-0.3227,-0.2749,True
google/bigbird-roberta-base_PCA,qwen3-embedding:8b_UMAP,-0.305,0.0,-0.3289,-0.2811,True
google/bigbird-roberta-base_PCA,sentence-transformers/all-MiniLM-L6-v2_PCA,-0.0775,0.0,-0.1014,-0.0536,True
google/bigbird-roberta-base_PCA,sentence-transformers/all-MiniLM-L6-v2_PaCMAP,-0.3426,0.0,-0.3665,-0.3187,True
google/bigbird-roberta-base_PCA,sentence-transformers/all-MiniLM-L6-v2_UMAP,-0.3604,0.0,-0.3843,-0.3365,True
google/bigbird-roberta-base_PaCMAP,google/bigbird-roberta-base_UMAP,-0.0247,0.0348,-0.0486,-0.0008,True
google/bigbird-roberta-base_PaCMAP,intfloat/e5-small-v2_PCA,0.0179,0.4479,-0.0061,0.0418,False
google/bigbird-roberta-base_PaCMAP,intfloat/e5-small-v2_PaCMAP,-0.1922,0.0,-0.2161,-0.1683,True
