group1,group2,meandiff,p-adj,lower,upper,reject
allenai/longformer-base-4096,google-bert/bert-base-uncased,-0.1249,0.0,-0.1456,-0.1042,True
allenai/longformer-base-4096,google/bigbird-roberta-base,-0.0486,0.0,-0.0693,-0.0279,True
allenai/longformer-base-4096,intfloat/e5-small-v2,-0.215,0.0,-0.2357,-0.1943,True
allenai/longformer-base-4096,qwen3-embedding:8b,-0.2116,0.0,-0.2323,-0.1909,True
allenai/longformer-base-4096,sentence-transformers/all-MiniLM-L6-v2,-0.2223,0.0,-0.243,-0.2016,True
google-bert/bert-base-uncased,google/bigbird-roberta-base,0.0763,0.0,0.0555,0.097,True
google-bert/bert-base-uncased,intfloat/e5-small-v2,-0.0901,0.0,-0.1109,-0.0694,True
google-bert/bert-base-uncased,qwen3-embedding:8b,-0.0867,0.0,-0.1074,-0.066,True
google-bert/bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,-0.0974,0.0,-0.1182,-0.0767,True
google/bigbird-roberta-base,intfloat/e5-small-v2,-0.1664,0.0,-0.1871,-0.1457,True
google/bigbird-roberta-base,qwen3-embedding:8b,-0.163,0.0,-0.1837,-0.1422,True
google/bigbird-roberta-base,sentence-transformers/all-MiniLM-L6-v2,-0.1737,0.0,-0.1944,-0.153,True
intfloat/e5-small-v2,qwen3-embedding:8b,0.0034,0.997,-0.0173,0.0242,False
intfloat/e5-small-v2,sentence-transformers/all-MiniLM-L6-v2,-0.0073,0.9166,-0.028,0.0134,False
qwen3-embedding:8b,sentence-transformers/all-MiniLM-L6-v2,-0.0107,0.678,-0.0315,0.01,False
